Features,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
CYP2J2,1.3663,2.3495,0.7879,0.6184,-0.2032,-0.6441,-0.1333,0.0211,-1.4006,0.8912
LACTB,-0.8815,0.1437,-0.0208,0.2253,0.2977,0.5866,-0.1512,1.5869,0.1332,1.0693
CAPN1,2.0044,1.8021,1.3342,0.4126,-0.8454,0.6242,0.0822,-0.0299,0.0798,0.4652
KIAA0415,-0.6777,1.1685,-0.0956,-0.8834,-1.3206,-0.2745,-1.1654,-0.8304,-0.8233,-1.9116
CB305835,-1.2157,1.3466,0.931,-1.6226,-0.3717,-0.1333,0.0917,-0.4597,-0.41,0.4324
BM145434,0.3303,0.3269,-1.357,-0.2226,2.5644,-0.7164,-0.3584,0.1703,-0.9409,-0.0893
APOA1BP,0.509,-0.8644,-0.3517,0.5506,0.8641,2.0973,0.4818,2.3709,0.6779,1.1301
PRPF40B,-0.1073,0.6655,-0.5254,-0.36,0.0596,-0.9212,-0.677,-1.1551,-0.6518,-1.8618
GTF2A1,0.0131,0.9479,1.4065,-0.9383,-0.2898,1.2613,0.3472,-2.0296,0.2783,0.1928
LINGO4,-0.1315,-0.1849,0.5702,0.578,-0.3123,0.4053,-0.4151,-0.619,-0.2603,-0.1736
OTUD3,-1.5294,1.2218,-1.2461,-1.5368,-0.5614,-0.059,1.239,0.4096,0.3128,-0.8203
PLD4,-0.0004,0.1593,1.1546,-1.8576,0.2295,0.1338,0.3261,1.1444,0.8654,0.1561
AK094605,0.4178,-1.7982,-1.2298,0.7236,-1.839,0.5453,-0.6205,-0.4228,-0.3642,-0.0691
GNG11,-1.0586,-0.1122,0.2393,-0.0737,1.1566,-0.0712,1.2584,-0.1058,0.0143,0.8504
AI249524,0.2714,-0.741,-1.0047,0.416,1.0222,0.663,1.6358,0.7514,0.6096,0.3678
HRC,-0.4056,-0.3332,-0.367,-0.6686,-0.0107,0.3517,-0.1259,-1.0381,-0.4997,0.4825
WASH2P,-0.2828,-0.6353,-0.5349,-0.5813,-1.1966,-0.3006,-0.2859,-0.0215,-0.9221,-0.7342
BU570069,0.0054,1.1894,0.3003,-1.1818,-0.5391,-0.4695,2.574,-2.1764,1.7613,0.3331
FBXO41,-0.2449,-0.2583,-0.1815,-1.3291,-0.3325,-0.899,-0.5678,-0.2975,-0.1655,-0.0516
AA885044,0.7928,0.2094,1.8522,-0.1307,1.4656,0.3654,0.9535,-0.685,0.1337,0.274
hCG_1993022,1.2645,0.9881,-0.6481,-0.5559,-0.6399,-0.0711,-0.6328,0.2537,-0.2835,1.3538
REG3G,-1.2883,0.0642,0.7897,0.3929,0.6714,-0.0307,0.0877,0.7491,-0.1376,0.1138
HCST,-0.9505,-0.5758,-0.2301,-0.1053,-1.123,-0.6689,0.2428,-0.2833,-0.2873,0.0126
BF056021,0.7947,0.9976,-0.8305,0.9985,0.7213,0.095,-0.7009,0.1927,1.7076,-1.6866
PAIP1,0.7354,0.6967,-0.7482,-0.887,-0.2611,-0.3222,-0.8814,0.8971,-0.5783,-1.6402
MAP3K10,0.42,0.0098,0.0541,0.5187,-0.3643,0.9822,0.2676,0.69,-1.5271,0.6299
CB055044,0.4085,-0.7872,-1.3925,-0.2604,-0.8929,-0.0245,-0.362,-1.2277,0.7045,-0.4255
RIC3,-1.3661,-0.3317,-0.7733,-0.6699,0.0673,-0.3095,0.9659,-0.1159,0.4828,-0.1271
AIDA,1.2501,0.3907,0.482,0.7232,1.9515,1.3276,0.3854,0.3971,1.3688,0.7065
MRPS7,0.3907,0.2575,0.6229,-0.3047,-0.5849,-0.0509,-1.327,1.6896,-0.9193,-1.1448
AI082254,-0.3853,-0.9136,0.2333,-0.8357,0.7967,0.242,-0.951,0.0825,-0.6422,-2.0445
CELF1,1.8849,0.7396,-0.422,0.1147,1.23,1.5114,-0.0093,0.8403,0.5564,0.3109
C6orf168,1.6927,0.9383,1.4998,0.1948,-0.3168,-1.202,0.2059,1.9711,-0.286,-0.9118
OR1D4,-0.0885,1.5084,-1.1467,-1.3545,0.1078,0.4359,-0.889,0.8095,-0.3134,-0.5196
BG462149,0.5238,0.1876,0.021,1.945,-0.425,-0.8187,0.1371,0.1442,1.6182,-0.2567
NETO2,-1.4855,1.2161,-0.7234,-0.7247,0.4552,-0.8297,0.3509,2.0343,0.3008,-0.2743
GPR62,0.6599,-0.9241,0.2405,-0.6546,0.0305,1.1611,-0.3942,-0.8747,1.3041,2.421
ACTR6,-0.6725,-0.3076,-1.156,-0.0415,0.3781,0.1764,0.6976,2.1472,0.0324,-0.0698
AI150595,0.4049,-1.6061,0.3495,-0.9731,0.3197,-0.8537,-0.4903,-0.7089,-0.1629,0.9937
GRAP2,-0.0132,1.0042,-0.0546,-0.4358,-0.7392,-1.0711,-0.9556,-0.7885,0.411,-0.9332
LPPR3,1.683,-0.129,-1.3321,0.0257,0.4752,-0.148,3.3579,-0.5092,1.1964,-0.707
UGT8,-0.553,-0.3788,-0.5831,-0.3265,-0.7044,-0.4147,0.3181,-0.789,0.1388,-0.3011
PAEP,-0.6687,-0.3237,-0.309,0.4656,-1.3414,0.3416,-0.2272,1.6882,0.9795,-0.7588
FBXL6,1.6363,2.4492,-0.6593,-0.4425,-0.7553,-0.339,-0.9714,-0.0465,0.9683,-0.55
LOC100505625,0.4444,1.5591,0.1652,1.3456,0.5008,-2.3684,1.0949,-0.3747,1.6773,0.1699
SIRT5,-0.5637,0.3489,1.0746,1.1863,0.3245,-0.6886,0.1072,0.1791,1.3563,-0.2864
AA897455,0.3731,0.153,2.2847,-0.4784,1.0846,-0.4456,-0.4336,0.9058,1.6274,0.0822
AI761451,1.2762,-0.0199,-0.5771,-0.6764,-0.0413,0.285,0.4256,1.6643,-0.4548,-0.3277
CNTNAP5,0.5065,-0.3671,1.0473,-1.4693,-1.2894,-0.641,-1.1844,-0.1642,-1.2715,-1.0184
PMS2L14,0.4147,0.5225,-0.0962,0.6669,0.533,0.4565,-0.2353,-1.2829,0.2967,0.3271
ZNF85,-0.7078,-0.7428,-0.7678,0.3554,-0.0114,-0.9944,-0.5742,-1.4634,0.0074,-0.7731
EEF2,-0.9491,-0.1838,-0.4139,-1.3272,-0.8425,0.0516,0.6766,-2.3732,-0.684,-0.1846
CWF19L2,-0.9875,-1.2714,-0.6844,1.3174,0.8859,0.6932,1.2902,0.8788,0.0348,0.7959
CN292187,0.0136,0.0811,-0.7804,-0.5038,-1.9312,-1.9398,0.6712,-0.7267,-0.2723,0.371
WSCD2,0.4593,0.4318,-0.5354,1.3448,-0.7305,0.039,-0.8401,0.4676,-1.3317,-1.1473
SERF2,2.0781,-0.342,-0.316,-0.8799,0.9439,1.4232,-0.0868,0.218,0.2827,0.9473
PLCD1,-0.1821,-0.926,0.188,0.0984,-1.3627,1.4227,-0.4103,-1.9435,-1.079,0.2573
SMARCD2,1.5352,2.0714,-0.1706,0.4404,0.4957,0.6419,0.4995,0.9563,0.0226,0.1994
AI193928,0.4496,-1.082,-0.132,1.0899,1.4816,0.0558,-1.9374,-1.1415,0.3484,-0.8339
KIAA1467,0.3501,-0.9571,0.0223,0.7408,-0.9951,0.5256,-0.3199,1.7863,0.0843,0.1682
GNPAT,1.1245,-0.6199,-1.4192,-0.4459,1.6173,1.2815,1.8932,-0.5487,1.9906,0.3778
KDM4B,-0.4056,-1.3418,0.7907,0.9429,-0.496,0.3969,0.8284,0.1586,0.0039,-0.1114
DA874789,-0.4345,-1.0522,0.0117,-0.0079,1.7752,-0.405,1.2954,-0.242,0.3826,0.1305
TMED1,-0.1827,1.0691,0.6283,-0.0186,-1.3745,0.8134,-0.6948,-1.1372,-1.0382,-0.4216
WDFY3,1.7534,2.663,-0.4458,0.0555,0.9013,0.5408,-0.4852,1.0877,1.3068,1.0215
BX091468,0.1415,-0.645,-0.1568,1.0173,0.7676,-1.9197,-0.3326,1.1534,0.4614,-1.4988
NAPA,-1.1645,-0.7458,0.2643,-0.9743,-0.9056,1.8928,-0.7038,1.2085,-0.095,-1.4277
EPB41,0.3366,-0.0258,0.7623,0.4428,-0.4357,1.7044,1.309,1.381,0.3244,0.8348
ERN2,0.4571,-1.0976,-0.07,-1.1567,-0.5065,0.1697,-0.9088,1.9789,-0.4109,-0.2922
ISCA2,0.3385,-0.7544,-0.2815,0.9505,0.9405,-0.0694,-0.2702,1.6371,0.3061,0.79
BC032141,-1.2149,1.0437,0.8692,-1.5846,0.3327,-0.5402,-0.8772,0.0547,1.3362,0.1743
TTC26,-0.3399,-0.3492,-0.3826,0.3672,1.0386,1.1065,-0.4108,0.1213,1.9152,0.3269
SLC35B2,-1.6357,-1.9563,0.4702,0.9925,-0.5971,0.0659,-0.8868,0.1204,0.5041,-0.0897
CD3D,-0.8675,-0.9691,-1.3571,-0.4734,-0.9685,-1.6265,0.1687,-0.6303,0.4181,0.0017
ACOT13,-0.7451,-2.0779,-0.4109,0.7483,0.8277,0.9463,-0.2214,0.429,0.3911,-0.1165
PIP4K2C,-0.4529,-0.4165,-0.9479,0.8657,-0.9994,0.3195,-1.7493,2.6338,-0.3322,-0.4363
TGM2,-0.8771,0.2946,-1.3056,-0.0904,-1.1238,-0.6811,-0.2768,-0.1486,0.7746,-0.1757
PGA5,-1.0021,0.0826,0.916,0.044,-0.2846,0.3692,0.4981,-0.5135,0.207,0.335
PPP1R3G,-0.619,0.2715,-0.4773,-1.613,0.0814,-0.8405,-1.4838,-0.9758,1.5949,-0.2249
AMICA1,-1.0866,-0.6473,-1.6053,-1.4051,-1.2191,-1.4338,0.69,-0.4425,0.1917,-0.3321
TET3,0.0422,0.587,-0.5131,1.4195,-1.0652,0.5727,1.0345,-0.6958,0.2132,-1.1449
LMO7,-1.3126,-0.9358,-0.807,0.4557,0.9284,-0.2644,0.0174,-0.6415,-0.1776,0.27
C11orf74,1.335,-0.9248,-0.26,0.7433,1.3069,-0.8216,0.6046,0.8837,-0.504,0.4701
CHD7,2.0354,-0.4668,-1.5367,0.2043,-0.6396,-0.5098,-0.5079,-2.0499,0.8188,-0.4825
AACS,0.5791,0.5877,-0.048,1.4123,-0.4327,0.171,-0.9013,0.5732,-0.5137,0.7117
PTPN13,0.3233,-0.3162,-0.9654,-1.3183,0.6961,-0.6043,0.2502,0.796,0.0087,-1.3555
RNF167,0.6232,0.1712,-1.3901,0.212,-0.0804,1.6329,-0.1132,0.9006,-0.3284,0.196
ACSL3,-0.6577,-0.6781,-0.4696,0.5374,-0.0886,-0.6701,-0.3247,-0.2812,-0.6614,1.3374
TAS2R50,0.708,-0.6483,0.1158,1.0379,0.2231,1.3078,0.073,0.9611,-0.1948,1.4515
PCBP2,-0.7251,-0.1392,-1.729,0.0232,-0.2375,1.1304,-0.09,1.8181,0.2038,-0.7171
AL133627,-1.845,-0.5953,0.1435,-0.8238,-0.6998,-1.0503,0.5818,-1.156,-0.8081,-0.8963
PIGH,0.6403,-0.5449,1.085,0.705,0.5453,1.9792,-0.2232,1.5792,-0.1226,0.0926
KRTAP1-1,-0.8095,0.3678,0.5177,-0.1505,0.0831,-0.2871,0.4644,1.5765,-0.0503,0.8848
LRGUK,0.1572,-0.6831,0.6697,-0.068,-0.3406,0.8471,-0.1767,1.065,-1.0515,0.542
LOC285084,-0.6904,-0.1944,0.6987,0.085,0.1783,0.4151,-1.3795,0.7604,0.5193,1.6953
ITM2A,-1.3095,-0.7855,-1.3411,-0.6832,0.1059,-1.5853,2.1671,-0.986,0.1522,0.991
AW070368,0.3609,0.9146,0.0422,-1.6327,0.9758,-1.0182,1.2101,-1.5892,-0.9798,-0.9579
CKM,-0.6939,0.1381,0.1591,-0.2432,-0.5407,-0.0403,0.205,-0.3498,-0.2326,0.523
AI393318,1.7071,-0.8763,-1.554,-0.17,-1.9004,-0.0761,0.8718,-0.4962,0.3375,-2.2056
USPL1,-0.6311,-0.3702,-1.3306,0.8381,0.9226,-0.5046,-0.1925,-1.6448,-0.8653,-1.2224
VENTXP7,-0.1255,-0.1711,0.0659,0.0433,-0.359,-1.7435,-0.1202,1.0028,1.3708,0.7672
ZNF224,0.1271,-1.5592,-1.2039,1.0626,0.5621,0.3084,0.2067,-1.9472,-0.8435,0.545
KRTAP4-2,-1.3221,-1.9461,0.3355,0.4593,-0.5362,0.4717,0.6657,-0.8751,-0.66,-0.8181
SLC12A6,-1.8762,-1.9511,-0.2806,0.5016,-0.4308,0.6967,-0.5114,-0.8542,0.9054,0.5138
BX104289,0.5553,0.3185,0.0346,0.3808,-0.1966,-1.8225,-0.6194,-0.2185,0.2307,-0.6271
MS4A3,1.1467,-0.4776,-1.1411,-0.5586,-0.3048,-1.4794,1.1297,1.0427,-0.5844,-1.6787
C3orf50,-0.7872,0.2625,-0.0672,0.08,0.1425,-0.9584,-0.5349,-1.1404,-0.5175,1.1151
BG623833,-0.4411,0.2983,-1.395,-0.4926,-1.0697,0.0667,-0.1448,-0.7158,-1.652,1.9652
AW971555,0.5905,-2.6167,-0.3939,1.7533,0.8404,-0.9605,-0.3458,-1.4613,-0.5698,-0.3934
NID2,-0.4035,1.1035,-0.3942,-0.3246,1.6643,-0.5438,-0.9498,-0.584,-0.7359,-0.8446
INSRR,-0.729,1.2288,-0.1934,0.6341,-0.4658,-0.4571,0.6444,1.1784,-1.1154,0.6779
ATP10A,2.4854,1.8764,0.5396,0.1848,2.2619,1.2716,0.4953,0.9149,-0.2749,0.6986
THADA,-0.4399,0.5704,-1.8003,0.3883,0.4114,0.3789,0.8439,-1.0057,-0.2672,1.2087
ZSCAN12,0.3617,-0.7706,1.6581,1.6619,-0.9381,0.1066,2.0259,-0.5929,0.9582,1.4669
AK094093,0.7029,-0.2512,0.8702,0.1743,-0.7616,-1.2824,-1.4356,0.477,-2.5453,-1.2467
BX092135,-1.0658,0.2688,-0.6693,0.0164,1.2031,-0.1147,-1.3724,0.6556,0.7203,-0.4946
ABCD3,-0.179,-1.2191,-1.0478,0.5657,0.135,1.9413,0.1273,1.28,0.184,-0.366
AW573261,1.4548,-0.1606,-0.6766,-1.2295,0.3745,-0.8413,-0.9709,-0.8707,-0.7854,0.1796
DB329860,0.3733,0.2498,0.6979,0.2929,-0.1761,-0.123,-0.7619,-0.2263,-0.3887,1.3761
DEFB126,-0.261,-0.287,0.7466,0.1863,-0.243,-0.0856,-0.1172,0.6741,0.5023,-0.2456
FKBP7,-0.4929,1.0921,1.1189,1.3415,2.4979,0.0215,1.306,-0.9741,0.351,0.0002
SNCAIP,-0.466,-0.7133,0.2371,-0.598,0.2903,-1.3707,1.5318,-0.486,1.2622,-0.4868
ARHGEF17,0.5285,-1.3634,1.1599,-0.7996,1.5028,0.0648,-0.4653,-0.388,-0.9134,-0.1817
AI819320,-0.0349,-1.5315,-2.6245,0.9501,-1.2308,1.3447,1.4296,0.003,-0.5734,-1.0378
CDK18,2.6446,0.1462,0.86,-0.8691,-1.5126,1.931,-0.6279,0.4501,-0.0117,-0.8874
NLGN1,-0.905,-0.6019,-0.7354,-0.5197,-0.291,0.0887,1.0405,-0.463,-0.1797,-0.051
DUSP9,-0.0511,-1.0664,-1.3093,1.5925,0.1,-2.0235,-0.9134,-0.8441,-0.8028,-1.1875
BF508910,-0.7466,-0.3938,-0.6212,-0.1384,-0.8978,-0.5734,0.0591,-0.0625,1.6946,1.9801
AP2A1,0.7207,-0.2112,0.9847,0.6085,1.734,-0.1793,-0.7264,-1.0779,-0.1039,-1.4073
SCNN1B,1.4273,-0.6907,-0.8131,0.5754,-0.3963,0.8443,0.4069,1.6095,2.2567,-0.5636
FAM100A,0.1559,1.3195,0.7391,0.6057,-0.3714,0.9288,-0.5384,0.837,0.5762,-0.8864
RDH8,0.7599,-0.7323,-0.197,-0.7002,-0.1875,0.8447,-2.1196,0.0512,-1.3048,-0.744
LOC400696,1.1867,-0.9935,-0.6794,0.627,-0.2369,-0.4532,-0.6619,-0.2465,-0.0422,-0.5223
FNDC3A,-0.9904,-1.5501,-0.9895,-0.2313,0.6625,-0.0482,-0.8143,-0.1536,-1.1995,-0.4185
C16orf52,-0.6482,-0.6404,1.4005,-0.1487,-0.1524,-0.556,-0.0448,-0.2917,0.1379,-0.6714
DB338444,2.0434,-0.8353,2.3832,-1.1736,-0.6747,-1.0623,-0.3445,-0.848,0.2904,-0.9961
CORO2B,-0.9144,-0.6878,0.3214,-0.4903,0.9866,-0.4691,0.5444,-0.1445,-0.852,0.6851
LINC00207,-1.3836,-0.8842,0.0296,-0.2487,-0.868,-0.4652,1.5058,2.3083,-0.0111,-0.4741
KRI1,-0.5319,0.3714,0.7156,-0.3137,-1.321,-0.1838,-0.098,-1.4071,-0.6192,-0.6482
HNRNPA0,-0.2988,-0.8611,-1.1042,0.3549,0.6338,0.1402,1.1636,1.1877,0.6608,0.9902
DFNB31,0.2392,-0.8901,0.9071,0.2364,-1.2843,0.813,-0.7116,-0.8315,-0.8495,-0.9562
MZT1,0.3709,-0.7228,-1.191,-0.2591,0.6064,0.0856,0.8541,0.4759,0.4924,-0.0889
GPR88,-0.4906,0.165,-0.1597,-0.0326,-0.0816,0.3188,-0.1866,-0.0822,-0.2633,0.0311
BM671002,-0.7055,1.4364,1.4163,0.9176,0.6045,-0.1291,-0.4245,-2.3833,-1.356,-0.5424
HK1,0.3036,-0.1767,0.6949,0.5317,-1.0532,1.3141,-1.3761,-0.081,-0.4831,1.4055
KLHL31,0.4592,-0.3866,0.7967,-0.3906,0.2793,1.3845,1,2.5742,0.7114,0.7452
ATP6V0A1,-1.6682,-0.0982,0.6634,0.7841,-0.4386,0.1054,-0.3976,1.0918,-1.2231,-0.5922
BM995921,-1.4515,-0.1639,1.7118,-0.5104,0.8439,-0.114,1.8101,-0.7111,-0.0486,-1.1915
ADAMTS7,0.874,1.2966,1.2356,0.1587,-0.1923,0.3399,-0.8639,-0.1274,-0.2434,-1.891
RYR2,-1.1664,0.3753,-0.6165,-0.5693,-0.1537,-0.8516,-0.6475,0.4005,-0.3482,-1.6258
FAM169B,-0.5315,-0.0019,-0.479,1.5707,-0.1246,0.6388,0.4147,1.6525,-0.3331,-0.1434
GNB4,0.7179,3.017,0.257,-0.0197,-0.0341,-1.4572,-0.6303,-0.4863,-0.7439,-0.3892
MTHFD1,1.0045,0.6816,-0.2568,-0.7722,0.3083,-0.9603,-0.6313,1.0421,0.7237,-0.0188
TIMM13,0.538,1.2842,1.0143,0.2125,0.557,2.2165,0.9439,-0.3517,0.0788,1.0409
RILPL2,0.3672,-1.925,1.1315,0.6113,0.2094,1.5472,0.5918,-0.043,-0.0408,0.6076
BF514549,0.5998,-0.8329,-0.9395,-0.9331,0.6815,0.466,1.4101,0.3054,0.119,0.1953
AB045832,1.2928,0.0464,-0.7436,0.5005,-0.0602,0.5526,1.118,-0.4471,-1.637,0.4699
ID2,-0.1643,1.3983,0.4933,0.8663,1.094,-0.5677,-0.7009,-0.3083,-0.3771,-0.0688
AA994053,-1.7574,1.3552,1.1028,0.1272,-1.2376,1.061,0.5843,-2.1485,2.1095,0.2022
DCAF6,-0.3668,0.7849,-2.3519,-0.7845,1.1751,1.3001,0.6876,1.0805,1.6999,-0.4704
BM675922,-1.2135,0.0052,-0.8561,-0.0567,-0.1047,0.1074,0.4002,-1.2974,-0.4752,-1.2969
FBXW2,0.5086,4.5691,-0.193,1.3379,0.402,0.8835,-0.08,-1.2896,0.3012,-0.2182
LOC440157,-0.8498,1.4567,0.1333,-0.1966,-0.4325,0.4292,-0.9247,1.6667,-0.12,-0.2358
BF511597,0.5423,0.0072,1.0377,-2.3216,-0.1619,0.7665,-1.0736,-0.6165,1.5194,1.8503
SERPINB10,-0.9795,0.2323,-0.7296,0.5795,-0.7914,-0.1537,-0.611,-0.0886,-1.1875,-0.3523
CNTN3,-0.6582,-0.8326,0.017,1.013,1.0718,-0.8578,-0.1208,-1.181,1.2452,-0.9715
GRIK5,0.0786,0.7515,1.5333,-0.7006,-0.4992,0.3571,1.6081,-0.1035,0.2372,0.1855
ACSBG2,-0.2476,0.1311,1.389,0.2061,-0.8296,0.0771,0.2855,-0.5296,-2.1,-0.008
PSCA,-0.5719,1.0548,-0.7788,-0.4645,-0.2878,-0.395,-0.3871,-0.3891,-0.5962,-0.0184
STAT6,1.5863,-3.2733,0.5944,-0.8339,-1.7777,-0.7562,0.1424,-1.7173,-0.9427,-0.3922
FLJ41327,0.9485,0.0942,1.3888,-0.5231,3.7018,-0.1246,0.0158,-1.0933,-0.0567,-0.3571
LCE3A,0.1477,0.1287,1.1263,1.4852,0.3261,1.7422,0.6436,2.0387,-0.899,-0.5159
CASK,2.4435,1.233,0.0778,-0.4918,0.3919,-1.2325,-0.4035,-0.2885,0.2237,-0.4891
SPATC1,-1.3073,-0.7499,0.2449,0.4486,0.905,0.1634,2.1542,-0.3773,-3.3288,-0.6945
RNU6ATAC,0.2412,0.4274,-0.683,0.1232,-0.3261,-0.7748,-1.0667,0.6721,1.4854,-0.4494
PDLIM4,-0.3672,1.3406,-0.1118,-0.224,0.4504,0.1857,0.6669,0.1787,0.096,0.2469
MTPAP,0.5088,1.6986,0.0468,-0.38,1.3939,-0.4099,0.0008,-1.3898,0.8135,-0.1856
BU619734,0.6242,0.787,1.1666,1.5941,0.2867,-2.3092,-2.1775,0.9518,1.4859,-0.3972
FCRL5,-1.5004,-0.3887,-0.0897,-0.5204,-1.1452,-0.781,-0.7049,-0.9655,-0.2506,-0.7832
FOXF2,-0.8656,-1.1266,-0.8085,-0.2259,2.832,-0.3329,0.267,-1.0495,-0.7478,0.5698
CALM1,1.3032,0.7505,-0.2183,-0.2118,0.3722,-0.6902,0.2114,0.7977,0.2968,0.2179
CYP2A6,-0.2422,-0.4358,-0.1427,-0.0378,0.0286,-0.32,-0.41,-0.3001,-0.0793,-0.0395
VMO1,0.7934,0.5618,2.3959,-0.0898,-0.5244,-0.2438,-0.7091,0.4162,-1.3796,-0.4247
ZNF181,-1.0985,-1.2728,-0.7138,0.0016,1.4403,0.3382,-0.3858,-0.0789,-0.2573,-0.892
SPRR2D,-0.2831,-0.456,-0.2041,-0.2666,-0.1476,-0.2657,0.0001,-0.7437,-0.3047,-0.5336
TRHDE,-1.2151,0.2115,0.2932,-0.8748,0.6909,-1.2601,0.9006,-2.416,0.8361,0.7001
ESRRA,1.6489,1.7369,-0.6634,-0.4538,-2.0926,0.1094,-0.5898,-0.2113,-1.1159,-1.1186
UGT1A1,0.5467,-0.4785,-1.3781,-0.0868,-0.1881,-0.147,-1.6808,1.8108,-1.2288,-0.5055
AA716436,-0.2998,1.6584,0.5168,-0.5829,-0.9488,0.1716,-1.3696,2.0253,-0.4662,0.1861
KDM5C,0.9905,0.2978,-0.2791,0.3521,0.5544,0.2304,-0.2471,1.7936,0.3729,-0.3184
BF510688,-0.2466,0.7161,0.1443,1.3892,-0.7393,-1.3263,-0.4176,-0.6744,-0.7105,0.6069
KIF21A,0.4401,0.9766,-1.0628,-0.3944,-0.1583,0.4733,-0.7839,1.0879,-0.326,-0.9134
C7orf55,0.1715,0.0937,-0.0892,-0.8465,-1.0276,-0.4055,0.6473,-1.3666,-1.0404,0.0779
ZNF207,1.4151,-2.1956,0.8311,0.591,0.6378,-0.4666,1.114,-0.7345,0.8851,-0.6512
RIF1,-1.1048,-0.1103,-0.9932,0.4867,1.0022,-1.0648,-0.8689,-0.3508,-0.7753,-1.4426
SUB1,-1.0294,-0.5834,-0.7847,2.2841,0.1624,1.3623,-0.3818,1.766,-0.9131,0.4419
C22orf46,0.5,-0.1292,0.6236,-0.7035,0.1405,1.1728,-0.0205,-0.2199,-0.8275,1.3879
NUDT22,2.2292,-0.5584,1.1763,1.396,0.2803,2.0002,-0.8204,1.2693,-1.4652,0.7508
LOC115110,0.0438,0.3483,-0.4569,0.4725,2.8645,-0.9181,1.2369,0.6566,0.1128,1.5326
CCDC102A,0.5359,-0.1695,-0.6067,-0.6476,0.315,-1.0539,-0.2998,-1.7184,-1.7794,-1.0541
ARHGAP15,-0.9485,-0.6911,-0.2849,-0.1585,-0.3791,-0.6809,0.0679,-0.3313,0.1236,0.2929
MGC72080,-0.7026,0.6309,0.188,-0.0606,-0.2084,-0.2461,-0.9199,0.5591,-0.5905,-1.1202
AK124463,-0.0214,-0.1621,-0.3176,-0.4776,0.1656,0.0556,1.3626,0.3396,1.2254,0.8796
AW263137,0.1853,0.249,-1.9139,0.6513,-0.3578,-0.1293,0.0474,-0.2619,0.6433,-0.4347
ZXDB,0.1878,-0.4195,-0.4355,1.3603,0.5234,0.0808,0.1221,0.7396,0.5169,0.7592
C1orf105,1.2212,-0.4781,0.7118,-0.5424,-1.5472,-0.0316,-0.7422,1.663,-0.3263,-1.5791
ATP6V1D,1.1065,-0.7994,-0.7874,0.9975,1.8096,0.9509,0.1778,1.3258,0.183,1.091
AK125754,-0.0882,0.46,0.2829,-1.4425,0.2976,0.4611,-1.4661,-0.3131,1.5574,-1.4037
NCRNA00174,-0.6151,-0.16,-0.5716,-0.207,-1.1902,-0.5759,-0.723,0.206,-0.292,-0.0873
NEFM,-1.3347,0.5576,-0.7019,0.7201,-0.4965,-0.5224,0.3476,-0.7446,-0.1855,-0.608
KPRP,-0.1366,0.6917,-0.4475,1.5111,0.5097,0.5052,0.3763,0.4485,-0.2836,0.5278
IGLON5,0.7396,-0.686,-0.8714,0.6236,-0.3106,0.0071,0.3946,0.4313,0.1961,2.415
MCTS1,-0.9013,-0.8023,-0.9331,0.2344,1.0079,0.0652,-1.29,0.1972,-0.8607,-0.9778
PRKCE,-1.0279,-1.6077,-0.7691,0.6905,-0.3527,1.1293,1.0435,-1.5482,1.7106,1.6444
OBSCN,-0.0363,-1.0338,0.343,-0.6246,-0.7993,0.2,0.6192,-0.9737,-0.2765,0.0022
CA5B,1.4261,2.9982,0.7059,0.4841,-0.1718,-0.8301,0.04,-1.4555,-1.1819,0.2862
ACCN2,0.3041,0.0613,2.3598,-1.4665,0.0293,-0.2389,-0.6456,-0.6356,-0.3889,-0.359
TTYH2,-1.5128,-0.5946,0.6248,-0.6427,-0.9954,-0.3421,0.3508,-0.3637,0.1807,1.6785
DA749780,-1.0432,-1.2263,-0.5205,0.1056,-0.6202,-1.0606,-0.3888,-0.9257,-2.5303,0.4674
CALML5,0.6752,0.7242,-0.4388,-0.4133,-0.6529,-0.4982,-0.1735,-0.5929,1.0791,-0.5342
N27121,-0.3705,-0.9045,-0.4546,-1.8655,-0.0404,0.1836,-0.5663,-0.0246,-1.0871,-0.1862
MX1,-0.8659,-0.4821,0.7718,1.605,-1.294,-1.977,-1.0195,-0.136,0.1858,-1.058
YY2,0.4328,2.0456,0.2087,1.6784,-0.9471,0.1851,-0.1447,0.3332,0.0727,0.6203
ZNF474,-0.3994,-0.6415,2.1805,0.0815,0.514,0.0651,1.5886,0.0945,2.0427,-1.3749
F01764,1.3884,-0.3618,0.6091,-0.1764,-0.0324,-1.4742,0.6193,0.7965,1.3663,3.5504
AFARP1,-0.7631,0.2982,-0.7035,-0.7886,1.202,0.4014,0.2229,-0.7826,1.8543,-1.208
CSH2,0.4837,0.6343,1.041,-0.4059,-0.8639,-0.9018,-1.0517,-0.9852,-0.5559,-1.2804
DB327282,0.0366,-0.0652,0.1002,-0.6817,0.5366,-0.9858,0.9822,-0.8795,0.2465,0.8914
U2AF2,-0.6632,-0.6506,-0.0353,-0.5328,0.1629,-0.3921,-0.9833,-0.1999,-0.4851,-1.0906
AA721481,0.4659,-0.427,-0.4263,-0.5672,1.0311,0.0151,-1.816,1.2501,1.1047,-0.3288
CA392834,-0.8569,0.5667,-0.165,-0.8813,2.4034,-0.4835,0.0019,-0.114,2.171,-0.5109
PAPOLB,0.3359,-0.0689,-1.1371,-0.577,-0.1067,0.1763,-0.7007,0.8533,-0.6348,-0.0335
